Algoritmo de ramificación y poda - Voraz - Cota superior más pequeña
Problema,n,k,m,z,S,CPU(s),nodos
examples/max_div_15_2.txt,15,2,2,11.8592,6-8,0.0004032,99
examples/max_div_15_2.txt,15,2,3,27.3727,0-6-8,0.009013,2175
examples/max_div_15_2.txt,15,2,4,49.8268,0-5-6-8,0.16599,28731
examples/max_div_15_2.txt,15,2,5,79.1295,0-3-5-6-8,1.84711,317139
examples/max_div_15_3.txt,15,3,2,13.2732,8-11,0.0005974,155
examples/max_div_15_3.txt,15,3,3,31.8685,4-6-11,0.0105284,2227
examples/max_div_15_3.txt,15,3,4,59.7638,4-8-10-11,0.122613,24699
examples/max_div_15_3.txt,15,3,5,96.0858,3-4-8-11-13,1.33066,228171
examples/max_div_20_2.txt,20,2,2,8.51033,17-18,0.0011356,210
examples/max_div_20_2.txt,20,2,3,21.9961,8-17-18,0.0178089,2956
examples/max_div_20_2.txt,20,2,4,40.0023,1-2-8-18,0.340054,55996
examples/max_div_20_2.txt,20,2,5,63.6517,1-8-13-17-18,4.71042,697348
examples/max_div_20_3.txt,20,3,2,11.8003,12-13,0.0013191,248
examples/max_div_20_3.txt,20,3,3,30.8727,7-12-13,0.0160768,2668
examples/max_div_20_3.txt,20,3,4,56.6903,2-12-13-16,0.269711,44164
examples/max_div_20_3.txt,20,3,5,92.8297,2-7-12-13-16,2.27924,349300
examples/max_div_30_2.txt,30,2,2,11.6571,8-27,0.0033273,349
examples/max_div_30_2.txt,30,2,3,28.9443,1-8-27,0.111278,11540
examples/max_div_30_2.txt,30,2,4,52.7712,1-8-10-27,2.20229,221118
examples/max_div_30_2.txt,30,2,5,80.9102,1-8-10-12-27,61.8214,5867796
examples/max_div_30_3.txt,30,3,2,13.0737,6-16,0.002181,233
examples/max_div_30_3.txt,30,3,3,34.2905,5-16-23,0.0779612,8068
examples/max_div_30_3.txt,30,3,4,63.702,5-13-16-23,1.38499,139794
examples/max_div_30_3.txt,30,3,5,99.592,5-13-14-16-23,34.5923,3297186
Algoritmo de ramificación y poda - GRASP - Cota superior más pequeña
Problema,n,k,m,z,S,CPU(s),nodos
examples/max_div_15_2.txt,15,2,2,11.8592,6-8,0.0015311,99
examples/max_div_15_2.txt,15,2,3,27.3727,0-6-8,0.012204,2175
examples/max_div_15_2.txt,15,2,4,49.8268,0-5-6-8,0.135471,28731
