Problema,n,k,m,Iter,|LRC|,z,S,CPU(s)
examples/max_div_15_2.txt,15,2,2,10,2,11.8592,6-8,0.0011811
examples/max_div_15_2.txt,15,2,2,10,3,11.8592,6-8,0.0012448
examples/max_div_15_2.txt,15,2,2,20,2,11.8592,6-8,0.0025608
examples/max_div_15_2.txt,15,2,2,20,3,11.8592,6-8,0.0031312
examples/max_div_15_2.txt,15,2,3,10,2,26.0136,4-6-8,0.0026093
examples/max_div_15_2.txt,15,2,3,10,3,27.3727,0-6-8,0.0022361
examples/max_div_15_2.txt,15,2,3,20,2,26.0136,4-6-8,0.0038505
examples/max_div_15_2.txt,15,2,3,20,3,27.3727,0-6-8,0.004654
examples/max_div_15_2.txt,15,2,4,10,2,46.2523,0-3-6-8,0.0032616
examples/max_div_15_2.txt,15,2,4,10,3,49.8268,0-5-6-8,0.0036475
examples/max_div_15_2.txt,15,2,4,20,2,46.2523,0-3-6-8,0.0053307
examples/max_div_15_2.txt,15,2,4,20,3,49.5462,3-5-6-8,0.0050296
examples/max_div_15_2.txt,15,2,5,10,2,65.4199,0-3-4-6-8,0.0033375
examples/max_div_15_2.txt,15,2,5,10,3,79.1295,0-3-5-6-8,0.0042928
examples/max_div_15_2.txt,15,2,5,20,2,65.5436,0-1-2-6-8,0.0087814
examples/max_div_15_2.txt,15,2,5,20,3,79.1295,0-3-5-6-8,0.0101755
examples/max_div_15_3.txt,15,3,2,10,2,13.2732,8-11,0.001287
examples/max_div_15_3.txt,15,3,2,10,3,13.2732,8-11,0.0011703
examples/max_div_15_3.txt,15,3,2,20,2,13.2732,8-11,0.0020511
examples/max_div_15_3.txt,15,3,2,20,3,13.2732,8-11,0.0022464
examples/max_div_15_3.txt,15,3,3,10,2,31.8685,4-6-11,0.0016643
examples/max_div_15_3.txt,15,3,3,10,3,30.8417,8-11-13,0.0021072
examples/max_div_15_3.txt,15,3,3,20,2,31.8685,4-6-11,0.0052858
examples/max_div_15_3.txt,15,3,3,20,3,31.8685,4-6-11,0.0058109
examples/max_div_15_3.txt,15,3,4,10,2,59.7638,4-8-10-11,0.0034365
examples/max_div_15_3.txt,15,3,4,10,3,59.7638,4-8-10-11,0.0040573
examples/max_div_15_3.txt,15,3,4,20,2,59.7638,4-8-10-11,0.0079142
examples/max_div_15_3.txt,15,3,4,20,3,59.7638,4-8-10-11,0.0076105
examples/max_div_15_3.txt,15,3,5,10,2,94.7487,4-8-10-11-13,0.0058054
examples/max_div_15_3.txt,15,3,5,10,3,96.0858,3-4-8-11-13,0.0063722
examples/max_div_15_3.txt,15,3,5,20,2,96.0858,3-4-8-11-13,0.0101859
examples/max_div_15_3.txt,15,3,5,20,3,96.0858,3-4-8-11-13,0.0100257
examples/max_div_20_2.txt,20,2,2,10,2,8.51033,17-18,0.0017177
examples/max_div_20_2.txt,20,2,2,10,3,8.51033,17-18,0.0016994
examples/max_div_20_2.txt,20,2,2,20,2,8.51033,17-18,0.0029446
examples/max_div_20_2.txt,20,2,2,20,3,8.51033,17-18,0.0030933
examples/max_div_20_2.txt,20,2,3,10,2,19.2924,8-13-17,0.0025229
examples/max_div_20_2.txt,20,2,3,10,3,21.9961,8-17-18,0.0036454
examples/max_div_20_2.txt,20,2,3,20,2,19.2924,8-13-17,0.0057794
examples/max_div_20_2.txt,20,2,3,20,3,21.9961,8-17-18,0.0051768
