Problema,n,k,m,z,S,CPU(s)
examples/max_div_15_2.txt,15,2,2,11.8592,6-8,6.91e-05
examples/max_div_15_2.txt,15,2,3,25.7262,3-6-8,3.38e-05
examples/max_div_15_2.txt,15,2,4,48.4139,3-6-8-10,3.5e-05
examples/max_div_15_2.txt,15,2,5,73.5619,1-3-6-8-10,3.73e-05
examples/max_div_15_3.txt,15,3,2,13.2732,8-11,3.42e-05
examples/max_div_15_3.txt,15,3,3,30.3241,4-8-11,3.79e-05
examples/max_div_15_3.txt,15,3,4,59.7638,4-8-10-11,4.08e-05
examples/max_div_15_3.txt,15,3,5,94.7487,4-8-10-11-13,4.68e-05
examples/max_div_20_2.txt,20,2,2,8.51033,17-18,4.73e-05
examples/max_div_20_2.txt,20,2,3,21.9961,8-17-18,4.95e-05
examples/max_div_20_2.txt,20,2,4,39.5682,2-8-17-18,7.35e-05
examples/max_div_20_2.txt,20,2,5,61.2393,2-8-12-17-18,6.21e-05
examples/max_div_20_3.txt,20,3,2,11.8003,12-13,5.34e-05
examples/max_div_20_3.txt,20,3,3,30.8727,7-12-13,4.8e-05
examples/max_div_20_3.txt,20,3,4,56.5347,2-7-12-13,5.59e-05
examples/max_div_20_3.txt,20,3,5,92.8297,2-7-12-13-16,6.01e-05
examples/max_div_30_2.txt,30,2,2,11.6571,8-27,6.69e-05
examples/max_div_30_2.txt,30,2,3,28.9443,1-8-27,6.49e-05
examples/max_div_30_2.txt,30,2,4,52.7712,1-8-10-27,7.6e-05
examples/max_div_30_2.txt,30,2,5,80.9102,1-8-10-12-27,8.38e-05
examples/max_div_30_3.txt,30,3,2,13.0737,6-16,5.66e-05
examples/max_div_30_3.txt,30,3,3,33.8423,6-16-23,6.85e-05
examples/max_div_30_3.txt,30,3,4,63.5184,6-13-16-23,7.65e-05
examples/max_div_30_3.txt,30,3,5,99.5088,6-13-14-16-23,8.64e-05
