Problema,n,k,m,z,S,CPU(s)
examples/max_div_15_2.txt,15,2,2,11.8592,6-8,0.0001231
examples/max_div_15_2.txt,15,2,3,27.3727,0-6-8,0.0001995
examples/max_div_15_2.txt,15,2,4,49.5462,3-5-6-8,0.000316
examples/max_div_15_2.txt,15,2,5,76.641,0-3-6-8-10,0.000436
examples/max_div_15_3.txt,15,3,2,13.2732,8-11,0.0001241
examples/max_div_15_3.txt,15,3,3,31.8685,4-6-11,0.0002111
examples/max_div_15_3.txt,15,3,4,59.7638,4-8-10-11,0.0003175
examples/max_div_15_3.txt,15,3,5,96.0858,3-4-8-11-13,0.0004704
examples/max_div_20_2.txt,20,2,2,8.51033,17-18,0.0001564
examples/max_div_20_2.txt,20,2,3,21.9961,8-17-18,0.0003379
examples/max_div_20_2.txt,20,2,4,39.8292,1-8-17-18,0.0004618
examples/max_div_20_2.txt,20,2,5,62.1989,1-2-12-17-18,0.0006089
examples/max_div_20_3.txt,20,3,2,11.8003,12-13,0.0001579
examples/max_div_20_3.txt,20,3,3,30.8727,7-12-13,0.0002811
examples/max_div_20_3.txt,20,3,4,56.6903,2-12-13-16,0.0004573
examples/max_div_20_3.txt,20,3,5,92.8297,2-7-12-13-16,0.0006336
examples/max_div_30_2.txt,30,2,2,11.6571,8-27,0.0002858
examples/max_div_30_2.txt,30,2,3,28.9443,1-8-27,0.0004113
examples/max_div_30_2.txt,30,2,4,52.7712,1-8-10-27,0.0006979
examples/max_div_30_2.txt,30,2,5,80.9102,1-8-10-12-27,0.0010272
examples/max_div_30_3.txt,30,3,2,13.0737,6-16,0.0002372
examples/max_div_30_3.txt,30,3,3,34.2905,5-16-23,0.0004232
examples/max_div_30_3.txt,30,3,4,63.702,5-13-16-23,0.0007056
examples/max_div_30_3.txt,30,3,5,99.592,5-13-14-16-23,0.0010801
